"place_id","place_name","place_type","photo_point","best_time","season_tags","recommendation_use","note","pub","car"
"GOAT-023","태기산","산/설경","상고대, 눈꽃 능선, 설산 풍경","오전","System.Object[]","겨울 설경 코스 추천","겨울 도로상태 확인 필요","하","하"
"GOAT-024","안목해변 카페거리","해변/카페거리","해변 전면 카페 파사드, 방파제, 모래사장","저녁","System.Object[]","해변 카페 코스 추천","대중교통 접근성 좋음","상","중"
"GOAT-025","하슬라아트월드","미술관/절벽","절벽 조각공원, 오션뷰 테라스","오후","System.Object[]","사진·전시 코스 추천","입장권 확인 필요","중","상"
"GOAT-026","정동진 썬크루즈 리조트","리조트/랜드마크","배형 외관, 해돋이 전망, 해안 절벽","새벽","System.Object[]","일출·랜드마크 추천","숙박/비숙박 방문 구분 필요","중","상"
"GOAT-027","BTS 버스정류장","해변 포토존","파란 정류장, 수평선, 모래사장","새벽","System.Object[]","K팝 팬 코스 추천","해외감성보다 글로벌 화제성 중심","중","중"
"GOAT-028","정동진 철길 건널목","철길/해변","철길 뒤로 보이는 바다 풍경","오전","System.Object[]","일본 소도시 감성 추천","안전 촬영 안내 필요","상","중"
"GOAT-029","안반데기","고원/별관측","고랭지 밭, 은하수, 광활한 고원","야간","System.Object[]","별보기·고원 코스 추천","기상·도로 확인 필요","하","하"
"GOAT-030","금진해변·헌화로 드라이브 코스","해안도로/해변","바다와 가까운 해안도로, 서핑 해변","저녁","System.Object[]","드라이브 코스 추천","무드 브랜딩 후보군","하","상"
"GOAT-031","교동 소품샵 거리","골목/소품샵","작은 소품샵, 정갈한 골목, 갤러리","오후","System.Object[]","골목 산책 추천","개별 매장 변동성 큼","상","중"
"GOAT-032","휴식 료칸 풀빌라","숙소","다다미방, 히노끼탕, 중정","저녁","System.Object[]","숙소 추천","상업시설 운영상태 확인 필요","하","상"
"GOAT-033","유메모리 리조트","숙소","정원 산책로, 히노끼 사우나, 유카타 체험","저녁","System.Object[]","숙소 추천","상업시설 운영상태 확인 필요","하","상"
"GOAT-034","무릉별유천지","재생관광/호수","청옥호·금곡호, 전망대, 라벤더","한낮","System.Object[]","SNS·재생관광 추천","운영시간 확인 필요","중","상"
"GOAT-035","어달삼거리","해변 도로/포토존","바다를 향해 뻗은 도로와 낮은 건물","오전","System.Object[]","일본 소도시 감성 추천","도로 촬영 안전 안내 필요","중","중"
"GOAT-036","묵호항 일대","항구/야간거리","저녁 항구 분위기, 바닷바람, 야외 해산물 거리","저녁","System.Object[]","야간 항구 코스 추천","식당 중심 데이터와 분리 필요","상","중"
"GOAT-037","묵호등대·논골담길","해안 언덕마을","가파른 언덕길, 바다 전망, 등대 주변","저녁","System.Object[]","브랜딩 후보 코스 추천","논골담길/묵호등대 중복 통합","중","중"
"GOAT-038","외옹치 바다향기로","해안데크길","절벽 데크, 암반, 파도선","오전","System.Object[]","해안 산책 추천","안전점검·통제 여부 확인 필요","상","중"
"GOAT-039","카페 흰다정","카페","우드톤 인테리어, 레트로 소품","오후","System.Object[]","카페 감성 추천","상업시설 운영상태 확인 필요","중","상"
"GOAT-040","서피비치","서프비치","비치 사인, 빈백, 서핑존, 팜트리","오후","System.Object[]","서핑·비치 포토스팟 추천","성수기 혼잡도 반영 필요","중","중"
"GOAT-041","죽도해변·인구해변·양리단길","서프타운/해변권역","죽도정 전망, 서핑숍 거리, 노을","저녁","System.Object[]","서프타운 권역 추천","개별 업장보다 권역으로 관리","중","중"
"GOAT-042","두둥실","카페/감성공간","라탄 소품, 목재 가구, 발리풍 인테리어","저녁","System.Object[]","카페 감성 추천","업장 운영상태와 식당 여부 확인 필요","중","상"
"GOAT-043","에이프레임(A-Frame)","카페/서프감성","서핑보드 벽면, 서퍼 카페 인테리어","오후","System.Object[]","서프 감성 카페 추천","상업시설 운영상태 확인 필요","중","상"
"GOAT-044","아야진해수욕장","해변","에메랄드빛 바다, 백사장, 갯바위","한낮","System.Object[]","해변 코스 추천","기상·수질·주차 확인 필요","중","중"
"GOAT-045","켄싱턴리조트 설악밸리","리조트/숙소","스위스풍 독립 객실, 산장 외관","저녁","System.Object[]","숙소·리조트 추천","숙박 중심 데이터로 분류","하","상"
"GOAT-046","하늬라벤더팜","정원/농장","라벤더 언덕, 양귀비, 메타세쿼이아","오전","System.Object[]","꽃밭·정원 코스 추천","개화시기 반영 필수","하","상"
"GOAT-047","능파대","지질/해안","타포니 바위, 해안 데크, 파도","오후","System.Object[]","지질·해안 포토스팟 추천","안전 안내 필요","중","중"
"GOAT-048","사유의 숲","숙소/풀빌라","야자수, 라탄 소품, 야외 수영장","오후","System.Object[]","숙소 추천","숙박시설 성격 강함","하","상"
"GOAT-049","쏠비치 삼척·산토리니 광장","리조트/광장","백색 건물, 코발트 지붕, 산토리니 광장","저녁","System.Object[]","리조트·사진스팟 추천","쏠비치 삼척과 산토리니 광장 통합","중","상"
"GOAT-050","라메종드마리","카페/디저트공간","유럽식 주택 외관, 디저트 공간","오후","System.Object[]","카페 감성 추천","상업시설 운영상태 확인 필요","중","상"
"GOAT-051","장호항","항구/해변","에메랄드 수면, 방파제, 카누 시점","한낮","System.Object[]","해양 액티비티·포토스팟 추천","용화해변과 연계 가능","중","중"
"GOAT-052","용화해변","해변","해변, 케이블카 연계 동선, 바다색","한낮","System.Object[]","장호항 연계 대안 코스 추천","장호항과 별도 장소로 관리","중","중"
"GOAT-053","초곡용굴촛대바위길","해안 트레일","출렁다리, 해식동굴, 촛대바위","오전","System.Object[]","해안 트레킹 추천","파도·기상 확인 필요","중","상"
"GOAT-054","한탄강 주상절리길","협곡/잔도","현무암 협곡, 절벽 잔도, 안개 낀 풍경","오전","System.Object[]","비 오는 날 대안 코스 추천","날씨 단점을 장점으로 활용 가능","중","상"
"GOAT-055","쏠비치 양양","리조트/광장","스페인풍 백색 건물과 붉은 지붕, 베누스 광장, 동해 전망","저녁","System.Object[]","리조트·사진스팟 추천","한국관광공사에서 주차 500면과 주소를 확인함. 대중교통 접근 등급은 확인 자료가 부족함. 좌표는 2026-07-21 카카오 주소 검색으로 확인함. 해안 산책로·해변 출입은 기상과 운영 상황에 따라 변동 가능.","중","상"
"GOAT-056","허브나라농원","정원/농장","셰익스피어 가든, 팔레트 가든, 허브 온실과 계곡 산책로","오전","System.Object[]","꽃밭·정원 코스 추천","한국관광공사에서 주소, 자체 주차장, 5~10월 09:00~18:00 및 11~4월 09:00~17:30 운영을 확인함. 11~4월 화요일 휴무. 대중교통 등급은 확인 자료가 부족함. 좌표는 2026-07-21 카카오 주소 검색으로 확인함.","중","중"
"GOAT-057","로미지안가든","수목원/정원","가시버시성, 삼합수 전망대, 산악 정원과 금강송 숲길","오전","System.Object[]","꽃밭·정원 코스 추천","한국관광공사에서 주소·09:00~17:00 운영·주차를, 정선군 버스정보에서 로미지안가든 정류장 운행을 확인함. 좌표는 2026-07-21 카카오 주소 검색으로 확인함.","하","중"
"GOAT-058","고석정 꽃밭","정원/농장","계절 초화류가 펼쳐진 대형 꽃밭과 산책 동선","오전","System.Object[]","꽃밭·정원 코스 추천","철원군 공식 자료에서 2026년 봄 운영(5월 15일~6월 14일, 낙화에 따라 조기 종료 가능)과 주소·주차를 확인함. 2026년 하반기 운영기간은 2026-07-14 현재 미공개이므로 확인된 날짜 범위 밖에서는 추천하지 않음. 대중교통 등급은 확인 자료가 부족함. 좌표는 2026-07-21 카카오 주소 검색으로 확인함.","중","상"
"GOAT-059","파크로쉬 리조트 앤 웰니스","리조트/숙소","가리왕산 전망, 자연 소재 건축, 웰니스 공간과 로쉬카페","오후","System.Object[]","숙소·리조트 추천","정선군은 투숙객 대상 웰니스 프로그램과 리조트 부대시설을 안내하고, 공식 사이트는 로쉬카페 운영을 안내함. 비투숙객이 실제 이용 가능한 구역과 프로그램 범위는 공식 문구만으로 확정할 수 없어 검증 대기.","중","상"
"GOAT-060","켄싱턴호텔 평창 프렌치가든","수목원/정원","프랑스 빌랑드리 모티브 자수정원, 허브가든과 호텔 정원 산책로","오전","System.Object[]","꽃밭·정원 코스 추천","호텔 공식 페이지에서 2만 평 프랑스식 정원, 외부 위치, 24시간 표기와 주소를 확인함. 무료 입장 범위와 계절별 조경 상태는 명시가 부족해 검증 대기.","중","상"
"GOAT-061","델피노·소노펠리체 델피노","리조트/숙소","울산바위 전망, 알파인 리조트 외관과 더 엠브로시아 카페","오전","System.Object[]","리조트·사진스팟 추천","소노 공식 페이지에서 설악·울산바위 전망과 더 엠브로시아 카페, 리조트 주소를 확인함. 전망 카페 및 비투숙객 접근 공간을 정확한 장소 단위로 확정할 수 없어 검증 대기.","중","상"
