place_id,place_name,reachable_status,total_appearances,card1_appearances,card2_appearances,card3_appearances,primaryTheme_coverage,purpose_coverage,transport_coverage,season_coverage,departure_coverage,first_trigger_condition,best_trigger_condition,max_score,best_rank,blocked_stage,blocked_reason,recommended_fix
GOAT-011,알파카월드,REACHABLE,1388,400,716,272,건축·전시·랜드마크 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드,먹거리·야간탐방|사진·포토스팟|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""체험·액티비티"",""transportType"":""도보중심"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":false}","{""referenceCardId"":""REF_NATURE_01"",""primaryTheme"":""숲·정원·자연휴식 무드"",""moodTags"":[""북유럽감성"",""자연친화"",""조용함"",""힐링""],""sceneTags"":[""숲"",""산책로"",""산""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""chuncheon"",""exposureState"":""recent"",""retry"":true}",93,1,,,
GOAT-012,원대리 자작나무숲,REACHABLE,3468,1384,1708,376,건축·전시·랜드마크 무드|레트로·시장·항구 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""사진·포토스팟"",""transportType"":""도보중심"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_NATURE_01"",""primaryTheme"":""숲·정원·자연휴식 무드"",""moodTags"":[""북유럽감성"",""자연친화"",""조용함"",""힐링""],""sceneTags"":[""숲"",""산책로"",""산""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""겨울"",""currentDate"":""2026-01-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":false}",92,1,,,
GOAT-013,인제성당,REACHABLE,6344,2848,872,2624,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""전시·건축관람"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ARCH_01"",""primaryTheme"":""건축·전시·랜드마크 무드"",""moodTags"":[""예술적"",""미니멀"",""건축미"",""현대적""],""sceneTags"":[""미술관"",""건축"",""정원""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""sokcho"",""exposureState"":""recent"",""retry"":false}",92,1,,,
GOAT-014,알펜시아 리조트,REACHABLE,2956,448,488,2020,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""체험·액티비티"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""겨울"",""currentDate"":""2026-01-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""체험·액티비티"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""겨울"",""currentDate"":""2026-01-20"",""departure"":""gangneung"",""exposureState"":""none"",""retry"":false}",92,1,,,
GOAT-015,육백마지기,REACHABLE,256,0,140,116,알프스·고원·목장 무드,사진·포토스팟|산책·힐링,대중교통|도보중심|자차,봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|wonju,"{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""사진·포토스팟"",""transportType"":""대중교통"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""pyeongchang"",""exposureState"":""recent"",""retry"":true}",82,2,,,
GOAT-016,대관령양떼목장,REACHABLE,5412,2584,1672,1156,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""겨울"",""currentDate"":""2026-01-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""none"",""exposureState"":""none"",""retry"":false}",90,1,,,
GOAT-017,하늘목장,REACHABLE,3604,576,2560,468,건축·전시·랜드마크 무드|레트로·시장·항구 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""체험·액티비티"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""gangneung"",""exposureState"":""none"",""retry"":false}",103,1,,,
GOAT-018,삼양라운드힐,REACHABLE,2496,1384,728,384,레트로·시장·항구 무드|알프스·고원·목장 무드|일본 소도시·골목 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""gangneung"",""exposureState"":""none"",""retry"":false}",104,1,,,
GOAT-019,발왕산 천년주목숲길·애니포레,REACHABLE,3704,1264,2080,360,레트로·시장·항구 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""seoul"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_NATURE_01"",""primaryTheme"":""숲·정원·자연휴식 무드"",""moodTags"":[""북유럽감성"",""자연친화"",""조용함"",""힐링""],""sceneTags"":[""숲"",""산책로"",""산""],""travelPurpose"":""산책·힐링"",""transportType"":""대중교통"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""gangneung"",""exposureState"":""none"",""retry"":false}",96,1,,,
GOAT-020,삼탄아트마인,REACHABLE,7192,3416,932,2844,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""전시·건축관람"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""gangneung"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_RETRO_01"",""primaryTheme"":""레트로·시장·항구 무드"",""moodTags"":[""레트로"",""로컬감성"",""활기"",""빈티지""],""sceneTags"":[""항구"",""시장"",""야간거리""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""gangneung"",""exposureState"":""recent"",""retry"":false}",84,1,,,
GOAT-021,민둥산,REACHABLE,1832,808,12,1012,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""산책·힐링"",""transportType"":""대중교통"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""seoul"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_NATURE_01"",""primaryTheme"":""숲·정원·자연휴식 무드"",""moodTags"":[""북유럽감성"",""자연친화"",""조용함"",""힐링""],""sceneTags"":[""숲"",""산책로"",""산""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""pyeongchang"",""exposureState"":""recent"",""retry"":true}",87,1,,,
